PlanetIdentifier,PeriodDays,SemiMajorAxisAU,DistFromEarthParsec,ListsPlanetIsOn
KOI-55 c,0.34289000000000003,0.0076,1180.0,1
HATS-7 b,3.185315,0.040119999999999996,257.0,0
Gliese 317 b,691.78,1.15,15.1,0
Gliese 317 c,10000.0,30.0,15.1,0
HD 189733 A b,2.21857312,0.03142,19.3,2
WASP-80 b,3.0678504,0.0346,60.0,0
Kepler-376 c,14.172327,0.11461302096709058,785.94,0
Kepler-376 b,4.920199,0.05661458078763641,785.94,0
Kepler-33 b,5.66793,0.0677,917.8,0
Kepler-33 c,13.17562,0.1189,917.8,0
Kepler-33 d,21.77596,0.166,917.8,0
Kepler-33 e,31.7844,0.2138,917.8,0
Kepler-33 f,41.02902,0.2535,917.8,0
Kepler-49 b,7.203871,0.07299903769867157,385.34,0
Kepler-49 c,10.912732,0.09628578528166175,385.34,0
Kepler-49 d,2.576549,0.036781727369890035,385.34,0
Kepler-49 e,18.596107999999997,0.13736873220427165,385.34,0
HAT-P-31 b,5.005425,0.055,354.0,0
HD 222582 A b,572.38,1.35,42.0,2
HD 30177 b,1620.0,2.6,55.0,0
HD 63765 b,358.0,0.9490000000000001,32.6,0
HD 73526 b,189.65,0.65,99.0,0
HD 73526 c,376.93,1.03,99.0,0
Kepler-228 d,11.094286,0.09735077692856595,1736.95,0
Kepler-228 c,4.134444,0.05041401189581399,1736.95,0
Kepler-228 b,2.5665459999999998,0.03668646659027584,1736.95,0
HD 2638 b,3.4442,0.044000000000000004,53.71,2
HATS-9 b,1.9153073,0.03048,622.0,0
