,PlanetIdentifier,TypeFlag,RightAscension,DeclinationAccurate,RightAscensionInDegrees,AngleBtwEarthExoplanetInDeg,DistFromEarthParsec
693,Kepler-1223 b,0,68471.0,44.55277777777778,285.29583356156996,49.83687907248887,
694,11 Com b,0,44443.0,17.79277777777778,185.17916681480997,83.85054494042657,88.9
695,HD 149026 b,0,59429.0,38.34722222222222,247.62083353142998,27.495939710556325,78.9
696,Kepler-499 b,0,70826.0,43.915277777777774,295.10833356942,29.560260564929788,
697,HD 96167 b,0,39915.0,-9.70861111111111,166.31250013304998,58.63810403272085,84.0
698,Kepler-1370 b,0,68296.0,41.77861111111111,284.56666689431995,97.89173903431734,
699,Kepler-1370 c,0,68296.0,41.77861111111111,284.56666689431995,97.89173903431734,
700,NGC 4349 No 127 b,0,44648.0,-60.12833333333333,186.03333348215997,35.20123314600275,2176.0
701,Kepler-1040 b,0,67947.0,48.13138888888889,283.11250022649,110.9473040677748,
702,WASP-90 b,0,75728.0,7.056666666666667,315.53333358576,46.82622272974248,340.0
703,HD 101930 b,0,42210.0,-57.99333333333333,175.8750001407,119.20698182473235,30.49
704,Kepler-219 b,0,69297.0,46.7625,288.73750023098995,39.18570740428773,953.85
705,Kepler-219 c,0,69297.0,46.7625,288.73750023098995,39.18570740428773,953.85
706,Kepler-219 d,0,69297.0,46.7625,288.73750023098995,39.18570740428773,953.85
707,Kepler-609 b,0,70133.0,44.7,292.22083356711,94.11422592762254,
708,Kepler-1600 b,0,69936.0,38.78777777777778,291.40000023311995,80.0847669100339,
709,KELT-12 b,0,64234.0,36.57027777777778,267.64166688077995,101.31377458579384,360.0
710,HIP 41378 b,0,30388.0,10.080277777777777,126.61666676795998,157.0392063971223,116.0
711,HIP 41378 c,0,30388.0,10.080277777777777,126.61666676795998,157.0392063971223,116.0
712,HIP 41378 d,0,30388.0,10.080277777777777,126.61666676795998,157.0392063971223,116.0
713,HIP 41378 e,0,30388.0,10.080277777777777,126.61666676795998,157.0392063971223,116.0
714,HIP 41378 f,0,30388.0,10.080277777777777,126.61666676795998,157.0392063971223,116.0
715,Kepler-439 b,0,67392.38,44.034,280.8015835579746,153.58183241178654,693.0
716,LkCa 15 b,0,16758.0,22.350833333333334,69.82500005585999,106.13313154927025,145.0
717,Kepler-525 b,0,71084.0,47.35888888888889,296.18333357027996,166.57190596749209,
718,Kepler-1170 b,0,70120.0,43.77972222222222,292.16666690039995,143.2326282379189,
719,PSO J318.5-22,3,76448.0,22.860000000000003,318.53333358815996,104.00017625106643,24.6
720,HD 13808 b,0,7963.0,-52.25611111111111,33.17916669321,137.11963309094682,28.6
721,HD 13808 c,0,7963.0,-52.25611111111111,33.17916669321,137.11963309094682,28.6
722,KOI-1894.01,0,71366.232,49.79755,297.3593002378874,53.337922858938775,
723,Kepler-450 b,2,70916.76,51.0135,295.48650023638913,107.64022716437894,
724,Kepler-450 c,2,70916.76,51.0135,295.48650023638913,107.64022716437894,
725,Kepler-450 d,2,70916.76,51.0135,295.48650023638913,107.64022716437894,
726,Kepler-1316 b,0,71721.0,40.293055555555554,298.83750023907,30.125836210905362,
727,HD 175607 b,0,68465.49,-65.80731944444445,285.2728752282183,84.42795547209964,45.27
728,HD 175607 c,0,68465.49,-65.80731944444445,285.2728752282183,84.42795547209964,45.27
729,Kepler-1032 b,0,69583.0,40.09777777777778,289.92916689861,100.36346333163232,
730,Kepler-1616 b,0,68770.0,45.305,286.5416668959,68.2665503189066,
731,HIP 63242 b,0,46652.0,-64.3536111111111,194.38333348883998,115.75431677814404,135.0
732,Kepler-929 b,0,71635.0,41.61527777777778,298.47916690545,99.11694710677025,
733,HD 113337 b,0,46907.0,63.61027777777778,195.44583348969,45.709784979169086,36.9
734,Kepler-716 b,0,69694.0,43.36388888888889,290.39166689897996,89.2510101457821,
735,KOI-188 b,0,69686.0,40.56777777777778,290.35833356562,12.291624798660159,650.0
736,Kepler-174 b,0,68985.0,43.831944444444446,287.43750022995,34.54646542812896,360.14
737,Kepler-174 c,0,68985.0,43.831944444444446,287.43750022995,34.54646542812896,360.14
738,Kepler-174 d,0,68985.0,43.831944444444446,287.43750022995,34.54646542812896,360.14
739,HD 142245 b,0,57176.0,15.430555555555555,238.23333352391998,7.214382802422262,109.0
740,Kepler-1098 b,0,70921.0,43.23277777777778,295.50416690307,71.82771873870033,
741,Kepler-1070 b,0,70367.0,49.31638888888889,293.19583356788996,82.00300513622028,
742,Kepler-599 b,0,68619.0,41.06944444444445,285.91250022873,82.45342764695386,
743,Kepler-1184 b,0,69908.0,46.96611111111111,291.28333356636,121.498725707152,
744,Kepler-818 b,0,71096.0,39.37027777777778,296.23333357032,72.21857860035006,
745,WASP-18 b,0,5845.0,-44.32222222222222,24.35416668615,51.400940824531276,100.0
746,Kepler-897 b,0,69741.0,51.69583333333333,290.58750023246995,68.73765291376755,
747,Kepler-1624 b,0,70219.0,37.37638888888889,292.57916690073,132.34002386121875,
748,Kepler-1013 b,0,69659.5,44.43527777777778,290.24791689886496,97.95110968953392,
749,iota Draconis b,0,55495.0,58.965833333333336,231.22916685164998,114.0866683696537,31.5
750,Kepler-1248 b,0,69134.0,51.35444444444445,288.05833356377997,81.09159141118117,
751,Kepler-1613 b,0,69570.0,43.420833333333334,289.87500023189995,59.86529950367426,
752,HD 113538 b,0,47097.47691,-51.55707713888889,196.23948728199156,128.321110524754,15.87
753,HD 113538 c,0,47097.47691,-51.55707713888889,196.23948728199156,128.321110524754,15.87
754,HD 102117 b,0,42290.0,-57.296388888888885,176.2083334743,123.63028891761986,42.0
755,HIP 74890 b,0,55097.0,-40.42055555555555,229.57083351698998,62.50191742241005,91.6
756,Kepler-306 c,0,69249.0,40.61611111111111,288.53750023082995,143.20338356128846,772.83
757,Kepler-306 b,0,69249.0,40.61611111111111,288.53750023082995,143.20338356128846,772.83
758,Kepler-306 d,0,69249.0,40.61611111111111,288.53750023082995,143.20338356128846,772.83
759,Kepler-306 e,0,69249.0,40.61611111111111,288.53750023082995,143.20338356128846,772.83
760,Kepler-1617 b,0,69105.0,46.41861111111111,287.93750023035,113.40051177943333,
761,HD 166724 b,0,65640.0,-41.42472222222222,273.5000002188,29.576931714718263,42.3
762,Kepler-1044 b,0,70355.0,46.66611111111111,293.14583356785,130.649572759873,
763,WASP-65 b,0,32008.0,8.523055555555556,133.36666677335998,97.41480812600864,310.0
764,Kepler-1508 b,0,71549.0,40.375,298.12083357182996,128.7872500109521,
765,Kepler-762 b,0,69906.0,47.32944444444445,291.27500023301997,38.015014227219325,
766,WASP-7 b,0,74650.0,-38.77472222222222,311.04166691549995,137.3994647358807,140.0
767,Kepler-602 b,0,71048.0,42.14194444444444,296.03333357016,107.80664106455743,
768,Kepler-1313 b,0,70173.0,42.233333333333334,292.38750023391,123.01148925852321,
769,Kepler-472 b,0,71166.0,39.249722222222225,296.52500023721996,65.87385909416136,
770,HD 147513 A b,2,59041.0,-38.80722222222222,246.00416686346998,122.42564616540012,12.9
771,HD 89307 b,0,37101.0,12.620833333333334,154.58750012367,151.02957891551844,30.9
772,Kepler-813 b,0,68559.0,48.43527777777778,285.66250022852995,120.28426629010072,
773,Kepler-1015 b,0,70262.0,43.426944444444445,292.75833356754,88.56010942437624,
774,EPIC 201549860 b,2,40824.739,1.2859555555555555,170.1030793027491,55.32112287072899,249.0
775,Kepler-1597 b,0,69159.0,42.48111111111111,288.16250023053,115.32498620025503,
776,HIP 68468 b,0,50464.0,-31.756944444444443,210.26666683487997,98.31683138586862,87.8
777,HIP 68468 c,0,50464.0,-31.756944444444443,210.26666683487997,98.31683138586862,87.8
